episode,timestep,reward
149,2000,-4986.9933
297,4000,-4987.0135
485,6000,-4990.1915
668,8000,-4989.6885
891,10000,-4991.9552
1115,12000,-4991.7545
1393,14000,-4993.7734
1659,16000,-4993.4511
1943,18000,-4993.8697
2242,20000,-4994.3244
2561,22000,-4994.7273
2874,24000,-4994.6038
3196,26000,-4994.795
3521,28000,-4994.8462
3880,30000,-4995.4234
4221,32000,-4995.1584
4575,34000,-4995.3305
4922,36000,-4995.2363
5285,38000,-4995.4876
5650,40000,-4995.5288
6015,42000,-4995.5151
6386,44000,-4995.6092
6759,46000,-4995.6327
7135,48000,-4995.6862
7512,50000,-4995.6976
7894,52000,-4995.7618
8281,54000,-4995.8372
8666,56000,-4995.8
9052,58000,-4995.8187
9434,60000,-4995.4555
9750,62000,-4988.6139
